-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,135,136,137,130,131,132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,140,141,142,1106,1107,1108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,135,136,137,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,199,200,201,194,195,196,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,204,205,206,1170,1171,1172,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,199,200,201,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,263,264,265,258,259,260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,268,269,270,1234,1235,1236,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,263,264,265,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,327,328,329,322,323,324,-1,1095,1096,1097,-1,-1,-1,705,706,707,708,-1,332,333,334,1298,1299,1300,-1,1089,1090,1091,1092,-1,-1,-1,-1,-1,-1,-1,-1,-1,327,328,329,-1,711,712,713,-1,-1,-1
-1,-1,-1,-1,391,392,393,386,387,388,1693,1159,1160,1161,1693,735,736,769,770,771,772,1693,396,397,398,1362,1363,1364,-1,1153,1154,1155,1156,1693,537,537,537,537,537,537,537,1693,391,392,393,1693,775,776,777,-1,-1,-1
349,349,351,543,455,456,457,450,451,452,1757,1223,1224,1225,1757,799,800,833,834,835,836,1757,460,461,462,1426,1427,1428,669,1217,1218,1219,1220,1757,-1,-1,-1,-1,-1,-1,-1,1757,455,456,457,1757,839,840,841,543,347,349
-1,-1,-1,543,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,543,-1,-1
